date,t,change,value
14/10/2021,0,36.63,36.63
15/10/2021,1,-48.45,-11.82
15/10/2021,1,56.52,44.7
15/11/2021,32,-37.04,7.66
16/11/2021,33,56.52,64.18
15/12/2021,62,-61.13,3.05
15/12/2021,62,56.52,59.57
15/01/2022,93,-58.33,1.24
17/01/2022,95,52,53.24
15/02/2022,124,-79.69,-26.45
15/02/2022,124,52,25.55
15/03/2022,152,52,77.55
16/03/2022,153,-60.79,16.76
15/04/2022,183,-73.3,-56.54
19/04/2022,187,68,11.46
15/05/2022,213,-74,-62.54
17/05/2022,215,68,5.46
15/06/2022,244,68,73.46
27/06/2022,256,-89.4,-15.94
28/06/2022,257,77.2,61.26
05/07/2022,264,-77.2,-15.94
27/07/2022,286,-58.37,-74.31
04/08/2022,294,77.2,2.89
27/08/2022,317,-82.48,-79.59
31/08/2022,321,77.2,-2.39
27/09/2022,348,-59.7,-62.09
28/09/2022,349,77.2,15.11
01/10/2022,352,66,81.11
27/10/2022,378,-81.83,-0.72
28/10/2022,379,35,34.28
02/11/2022,384,66,100.28
27/11/2022,409,-99.87,0.41
30/11/2022,412,47.15,47.56
02/12/2022,414,67,114.56
19/12/2022,431,5,119.56
27/12/2022,439,-147.23,-27.67
30/12/2022,442,47.15,19.48
01/04/2023,534,67,86.48